# qx qy Re_RPA_total Im_RPA_total Re_chi0_total Im_chi0_total Re_xx Re_xz Re_zx Re_zz Re_xz_plus_zx Im_xx Im_xz Im_zx Im_zz Im_xz_plus_zx
-3.141592653590e+00 -3.141592653590e+00 2.808707450776e+00 1.013412837123e-19 8.561583389493e-01 8.836653325438e-21 7.725035773138e-01 3.833110841791e-01 3.833110841791e-01 1.269581705104e+00 7.666221683582e-01 6.518083655629e-22 3.422517387415e-20 3.585456252092e-20 3.060973895166e-20 7.007973639507e-20
-3.141592653590e+00 -3.043417883165e+00 2.900171132021e+00 7.213472602046e-20 8.634102981096e-01 7.027328951997e-21 7.789213903208e-01 3.990079677845e-01 3.990079677845e-01 1.323233806132e+00 7.980159355690e-01 1.494434838579e-20 1.760010212218e-20 3.036812496720e-20 9.222150545297e-21 4.796822708938e-20
-3.141592653590e+00 -2.945243112740e+00 3.502955866876e+00 4.724926675434e-19 9.027595420591e-01 2.621638949567e-20 8.168491284430e-01 5.054737804655e-01 5.054737804655e-01 1.675159177502e+00 1.010947560931e+00 2.323557924678e-20 8.184380994802e-20 1.043937819276e-19 2.630194964210e-19 1.862375918757e-19
-3.141592653590e+00 -2.847068342316e+00 2.683298867850e+00 -1.443976872702e-19 8.451732750188e-01 -1.209829349920e-20 7.719107713972e-01 3.456007779502e-01 3.456007779502e-01 1.220186540552e+00 6.912015559004e-01 -1.864590095903e-21 -2.418160657036e-20 -2.411953629442e-20 -9.423195430948e-20 -4.830114286477e-20
-3.141592653590e+00 -2.748893571891e+00 2.443061062235e+00 7.060832376682e-20 8.228381567450e-01 6.797719215728e-21 7.710251808216e-01 2.968162106450e-01 2.968162106450e-01 1.078403460123e+00 5.936324212899e-01 -5.533355611912e-21 1.494498598394e-20 1.158819972031e-20 4.960849367448e-20 2.653318570424e-20
-3.141592653590e+00 -2.650718801466e+00 2.306420650165e+00 -2.245515889098e-20 8.085415821673e-01 -2.279515552219e-21 7.822267078945e-01 2.642496015299e-01 2.642496015299e-01 9.956947392107e-01 5.284992030598e-01 6.642658139518e-21 -5.172147503184e-21 -4.207359137380e-21 -1.971831038993e-20 -9.379506640564e-21
-3.141592653590e+00 -2.552544031042e+00 2.233841407672e+00 3.432448725491e-20 8.007319682673e-01 4.003793050771e-21 8.140062986213e-01 2.394206683278e-01 2.394206683278e-01 9.409937723954e-01 4.788413366557e-01 -3.163516536391e-21 2.861523036407e-21 1.733914371598e-21 3.289256638329e-20 4.595437408005e-21
-3.141592653590e+00 -2.454369260617e+00 2.166579329918e+00 4.727728330067e-20 7.922228833884e-01 6.076227697611e-21 8.035695127820e-01 2.325019871502e-01 2.325019871502e-01 8.980058428352e-01 4.650039743003e-01 4.814368790447e-21 3.287996432856e-21 6.022016481785e-21 3.315290159558e-20 9.310012914642e-21
-3.141592653590e+00 -2.356194490192e+00 2.133700080172e+00 3.633979703710e-20 7.881191620208e-01 4.850409492090e-21 8.200525675619e-01 2.238044006017e-01 2.238044006017e-01 8.660387114065e-01 4.476088012035e-01 -4.150015576928e-21 1.120426845310e-20 9.868322757371e-21 1.941722140355e-20 2.107259121048e-20
-3.141592653590e+00 -2.258019719768e+00 2.136021692289e+00 -2.720178313523e-20 7.885106005117e-01 -3.711620737728e-21 8.657004490166e-01 2.151824046199e-01 2.151824046199e-01 8.399564340325e-01 4.303648092399e-01 -1.115032920843e-20 -4.183984126299e-21 7.094538539930e-22 -1.257692365449e-20 -3.474530272306e-21
-3.141592653590e+00 -2.159844949343e+00 2.110084848554e+00 -6.354036398968e-20 7.848520695149e-01 -9.039509730786e-21 8.676206772663e-01 2.125365151334e-01 2.125365151334e-01 8.173911410211e-01 4.250730302668e-01 1.174661714118e-20 -2.014971996253e-20 -2.015747599543e-20 -3.497978517290e-20 -4.030719595796e-20
-3.141592653590e+00 -2.061670178918e+00 2.147547857009e+00 -4.064801439030e-20 7.893659846691e-01 -5.796627025363e-21 9.223395035956e-01 2.125665503150e-01 2.125665503150e-01 8.000752527831e-01 4.251331006299e-01 -3.628771132895e-21 -7.062870655559e-21 -4.025912842320e-21 -2.593045975953e-20 -1.108878349788e-20
-3.141592653590e+00 -1.963495408494e+00 2.200862487354e+00 4.918585143753e-20 7.955664419069e-01 6.532189004217e-21 9.741017912680e-01 2.191399366817e-01 2.191399366817e-01 7.884808227227e-01 4.382798733633e-01 2.001800139296e-20 4.617751622558e-21 3.853154062427e-21 2.069694435959e-20 8.470905684985e-21
-3.141592653590e+00 -1.865320638069e+00 2.279184793340e+00 5.475653521678e-20 8.043957353864e-01 7.003803980688e-21 1.033311408521e+00 2.319160261450e-01 2.319160261450e-01 7.820413325287e-01 4.638320522901e-01 1.941921243319e-20 8.837875224443e-21 6.220812485771e-21 2.027863507338e-20 1.505868771021e-20
-3.141592653590e+00 -1.767145867644e+00 2.370760579560e+00 2.150591279336e-20 8.142715044450e-01 2.262386029308e-21 1.092662646865e+00 2.489228063763e-01 2.489228063763e-01 7.802523199425e-01 4.978456127527e-01 1.374127573039e-20 1.461157840994e-21 5.894918513701e-21 4.085607082790e-22 7.356076354695e-21
-3.141592653590e+00 -1.668971097220e+00 2.047240591046e+00 -1.710374582656e-20 7.750896311528e-01 -2.452077466331e-21 8.991794176465e-01 1.938959604358e-01 1.938959604358e-01 7.602692525284e-01 3.877919208716e-01 -5.493891610282e-21 -2.653736243673e-21 -4.655440200043e-21 -4.300677772559e-21 -7.309176443716e-21
-3.141592653590e+00 -1.570796326795e+00 1.887687425814e+00 -2.176560641935e-20 7.517618227224e-01 -3.647754621950e-21 8.132705267156e-01 1.635801898293e-01 1.635801898293e-01 7.472565194402e-01 3.271603796586e-01 5.457485345994e-21 -3.442694851096e-21 -5.212129811023e-21 -1.856826710322e-20 -8.654824662119e-21
-3.141592653590e+00 -1.472621556370e+00 1.787272335666e+00 -1.537834741659e-20 7.355128610355e-01 -2.627687041997e-21 7.642359869268e-01 1.426966780502e-01 1.426966780502e-01 7.376429926394e-01 2.853933561004e-01 -2.939664615516e-21 -3.974715250095e-21 1.033632137118e-21 -9.497599688095e-21 -2.941083112977e-21
-3.141592653590e+00 -1.374446785946e+00 1.718033976122e+00 6.203634056512e-20 7.235572335588e-01 1.100140198055e-20 7.314523308384e-01 1.274175515204e-01 1.274175515204e-01 7.317465422428e-01 2.548351030408e-01 -1.075977414009e-21 5.796170064815e-21 6.904199051204e-21 5.041194886311e-20 1.270036911602e-20
-3.141592653590e+00 -1.276272015521e+00 1.655716779602e+00 -1.817893273831e-20 7.122395775561e-01 -3.347676275494e-21 7.052516774437e-01 1.127424611275e-01 1.127424611275e-01 7.249801799028e-01 2.254849222551e-01 -2.937534897139e-21 -4.121968031915e-21 -2.078316537493e-21 -9.041113271766e-21 -6.200284569408e-21
-3.141592653590e+00 -1.178097245096e+00 1.603961012458e+00 3.310708104909e-20 7.024255139353e-01 6.228866306361e-21 6.840187911493e-01 1.004182183422e-01 1.004182183422e-01 7.191057846241e-01 2.008364366844e-01 1.304531999211e-21 4.054836328435e-21 2.027623214002e-21 2.572008950744e-20 6.082459542437e-21
-3.141592653590e+00 -1.079922474671e+00 1.550815358004e+00 1.137069874931e-20 6.917916971015e-01 2.229955036105e-21 6.466142678690e-01 9.576070678367e-02 9.576070678367e-02 7.126796765673e-01 1.915214135673e-01 -5.800666275483e-22 4.346191897450e-21 4.560777854770e-21 3.043795624642e-21 8.906969752220e-21
-3.141592653590e+00 -9.817477042468e-01 1.517930727078e+00 1.626221056370e-20 6.851930100254e-01 3.303286706326e-21 6.459864308106e-01 8.164543297790e-02 8.164543297790e-02 7.086534303118e-01 1.632908659558e-01 5.185176297911e-21 2.690069605087e-21 1.376461063208e-21 7.010503597499e-21 4.066530668294e-21
-3.141592653590e+00 -8.835729338221e-01 1.489530229700e+00 2.388256345028e-20 6.792368424891e-01 4.831640515847e-21 6.360505508104e-01 7.276865322563e-02 7.276865322563e-02 7.079423724388e-01 1.455373064513e-01 3.736715491027e-21 1.602430141479e-21 1.623992663456e-21 1.691942515432e-20 3.226422804934e-21
-3.141592653590e+00 -7.853981633974e-01 1.438454903840e+00 -1.800975486805e-20 6.682326635923e-01 -3.640296364920e-21 6.110139486049e-01 6.652074045107e-02 6.652074045107e-02 6.943994743333e-01 1.330414809021e-01 -5.066454333468e-22 -7.840307484567e-22 2.922219158559e-21 -1.964129784480e-20 2.138188410102e-21
-3.141592653590e+00 -6.872233929728e-01 1.414586698004e+00 1.740551395799e-20 6.632219283670e-01 3.642861816315e-21 6.183071577538e-01 5.521100710035e-02 5.521100710035e-02 6.858575260500e-01 1.104220142007e-01 -9.759573162554e-22 4.247068686772e-22 1.803267629951e-21 1.615349677561e-20 2.227974498628e-21
